                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3429,                  3.997,                 1.2502,                0.02783,                 0.3075,                0.06624,                0.05485,                  1.109,                 3.8071,                  1.064,                 0.0892,                 0.0012,                 0.0012
                      2,                 1.1653,                 3.5971,                 1.1462,                0.01477,                0.33497,                0.09615,                0.07068,                 1.1187,                 3.6759,                 1.0345,               0.077495,               0.002495,               0.002495
                      3,                 1.1246,                 2.9877,                 1.1066,                0.01408,                0.42667,                 0.1734,                0.12884,                 1.1327,                  3.412,                 1.0264,               0.065785,              0.0037848,              0.0037848
                      4,                 1.1071,                 2.3493,                 1.1016,                0.05065,                0.61058,                0.37237,                0.26711,                 1.0421,                 3.0777,                 1.0159,               0.054069,              0.0050694,              0.0050694
                      5,                 1.1399,                 1.9333,                 1.0986,                0.90572,                0.14047,                0.52392,                0.39096,                 1.1321,                 2.7399,                 1.0509,               0.042349,              0.0063489,              0.0063489
                      6,                 1.0904,                 1.6797,                 1.0891,                0.84548,                0.31055,                0.58522,                0.44197,                 1.1608,                 2.4817,                 1.1075,               0.030623,              0.0076231,              0.0076231
                      7,                 1.1297,                 1.5887,                 1.0828,                 0.8366,                0.38891,                0.59524,                0.44383,                 1.1951,                 2.3152,                 1.1313,               0.018892,              0.0088921,              0.0088921
                      8,                 1.1388,                 1.5423,                 1.0916,                0.72811,                0.48258,                0.60998,                0.44017,                 1.1472,                 2.0106,                 1.0901,              0.0098601,              0.0098601,              0.0098601
                      9,                 1.1584,                 1.4659,                 1.0961,                0.78387,                0.54841,                0.65772,                0.47672,                 1.1882,                 1.9304,                 1.1039,              0.0098402,              0.0098402,              0.0098402
                     10,                 1.0826,                 1.3975,                 1.0833,                0.78086,                0.59049,                0.67935,                0.49636,                 1.1192,                 1.7359,                 1.0737,              0.0098202,              0.0098202,              0.0098202
                     11,                 1.0645,                 1.3782,                 1.0671,                0.68269,                0.49634,                0.62717,                0.45997,                 1.1524,                 1.8305,                 1.0822,              0.0098002,              0.0098002,              0.0098002
                     12,                 1.0558,                 1.3038,                 1.0675,                0.76352,                0.64221,                0.71989,                0.53255,                  1.084,                 1.5107,                 1.0667,              0.0097802,              0.0097802,              0.0097802
                     13,                  1.037,                  1.295,                 1.0472,                 0.7389,                0.63868,                0.70756,                0.52977,                 1.0495,                 1.5157,                 1.0543,              0.0097602,              0.0097602,              0.0097602
                     14,                 1.0157,                 1.2228,                 1.0556,                0.78716,                 0.6029,                0.73438,                0.54901,                 1.0509,                 1.3647,                 1.0511,              0.0097403,              0.0097403,              0.0097403
                     15,                 1.0095,                 1.2411,                 1.0565,                  0.835,                0.63425,                0.76571,                0.57808,                 1.0198,                 1.2954,                 1.0392,              0.0097203,              0.0097203,              0.0097203
                     16,                 1.0454,                 1.2424,                 1.0636,                0.81084,                0.68612,                0.76038,                0.54865,                 1.0475,                 1.3292,                 1.0515,              0.0097003,              0.0097003,              0.0097003
                     17,                 1.0377,                 1.2196,                 1.0525,                0.79275,                0.70891,                0.75211,                0.56415,                 1.0255,                 1.2788,                 1.0165,              0.0096803,              0.0096803,              0.0096803
                     18,                0.98343,                 1.1922,                 1.0445,                0.83316,                0.69186,                0.75008,                0.57541,                0.98677,                 1.2316,                 1.0223,              0.0096603,              0.0096603,              0.0096603
                     19,                0.98791,                 1.1939,                 1.0493,                0.81537,                0.69042,                0.74905,                  0.548,                 1.0989,                 1.3661,                 1.0936,              0.0096404,              0.0096404,              0.0096404
                     20,                0.98883,                 1.1377,                 1.0387,                0.80913,                0.63877,                0.72719,                0.54284,                  1.059,                 1.2708,                 1.0621,              0.0096204,              0.0096204,              0.0096204
                     21,                0.99488,                 1.1233,                 1.0398,                0.82353,                0.61761,                0.74862,                0.57235,                 1.0243,                 1.2455,                 1.0443,              0.0096004,              0.0096004,              0.0096004
                     22,                0.97246,                 1.1098,                 1.0355,                0.67915,                0.74449,                0.75151,                0.55167,                 1.0481,                 1.2181,                 1.0488,              0.0095804,              0.0095804,              0.0095804
                     23,                0.95907,                 1.1142,                 1.0336,                 0.7418,                0.71694,                0.76989,                0.57176,                 1.0555,                 1.1796,                  1.068,              0.0095604,              0.0095604,              0.0095604
                     24,                0.97227,                 1.1114,                 1.0293,                0.74918,                 0.7458,                0.79295,                 0.5667,                 1.0685,                 1.1923,                 1.0569,              0.0095405,              0.0095405,              0.0095405
                     25,                0.96875,                  1.091,                 1.0282,                0.78879,                0.77835,                0.82479,                0.62608,                 1.0037,                 1.1161,                 1.0202,              0.0095205,              0.0095205,              0.0095205
                     26,                0.93782,                 1.0625,                 1.0251,                0.77905,                0.74839,                   0.81,                0.59899,                   1.07,                 1.1376,                 1.0514,              0.0095005,              0.0095005,              0.0095005
                     27,                0.93092,                 1.0596,                 1.0223,                0.82813,                0.68782,                0.77969,                0.55856,                 1.0583,                 1.2205,                 1.0679,              0.0094805,              0.0094805,              0.0094805
                     28,                0.93284,                 1.0864,                  1.033,                0.82552,                0.73603,                0.78967,                0.56855,                 1.0154,                 1.1679,                  1.043,              0.0094605,              0.0094605,              0.0094605
                     29,                0.95856,                 1.0652,                 1.0272,                0.83035,                0.74255,                0.80167,                0.58789,                 1.0245,                 1.1206,                 1.0466,              0.0094406,              0.0094406,              0.0094406
                     30,                0.92801,                 1.0467,                 1.0172,                0.74613,                0.82515,                0.82531,                0.61549,                0.95449,                 1.0823,                 1.0113,              0.0094206,              0.0094206,              0.0094206
                     31,                0.91335,                 1.0077,                 1.0117,                0.74465,                0.77342,                0.79381,                0.59771,                0.99684,                 1.0925,                 1.0385,              0.0094006,              0.0094006,              0.0094006
                     32,                0.91132,                  1.005,                 1.0051,                0.84091,                0.74513,                 0.7915,                0.59934,                0.96193,                 1.0814,                 1.0131,              0.0093806,              0.0093806,              0.0093806
                     33,                0.92173,                0.96582,                0.99879,                0.81877,                0.73086,                0.77169,                0.54718,                 1.0024,                 1.1133,                 1.0237,              0.0093606,              0.0093606,              0.0093606
                     34,                0.90108,                0.97388,                 0.9987,                0.73133,                0.76288,                0.78469,                0.59503,                 1.0102,                 1.1429,                 1.0405,              0.0093407,              0.0093407,              0.0093407
                     35,                0.91169,                0.97003,                 1.0107,                0.78169,                 0.7518,                0.78322,                0.58561,                0.99328,                 1.1492,                 1.0213,              0.0093207,              0.0093207,              0.0093207
                     36,                 0.9162,                 0.9815,                 1.0093,                 0.8545,                 0.7035,                0.80434,                0.59111,                 0.9978,                 1.1111,                 1.0027,              0.0093007,              0.0093007,              0.0093007
                     37,                0.89876,                0.98898,                 1.0094,                0.82278,                0.76008,                0.82843,                0.62962,                0.94521,                  1.052,                0.99695,              0.0092807,              0.0092807,              0.0092807
                     38,                0.88505,                0.93664,                0.99163,                0.87575,                 0.7237,                0.81327,                 0.6167,                 1.0063,                  1.052,                 1.0163,              0.0092607,              0.0092607,              0.0092607
                     39,                0.88909,                0.92086,                0.99621,                0.86419,                0.74839,                0.83456,                0.65007,                0.95445,                 1.0552,                 1.0036,              0.0092408,              0.0092408,              0.0092408
                     40,                0.88622,                0.93473,                 1.0019,                0.86008,                0.76547,                0.83372,                0.62463,                 0.9818,                 1.0472,                 1.0125,              0.0092208,              0.0092208,              0.0092208
                     41,                0.90072,                 0.9204,                0.98701,                0.84042,                0.77421,                0.83108,                0.62007,                0.94014,                 1.0655,                0.99076,              0.0092008,              0.0092008,              0.0092008
                     42,                 0.8738,                0.93892,                 0.9984,                0.79429,                0.78884,                0.82599,                0.62265,                0.93735,                 1.0529,                0.99844,              0.0091808,              0.0091808,              0.0091808
                     43,                0.90138,                0.94291,                 1.0027,                0.82953,                0.76954,                0.83997,                0.64719,                0.93095,                0.99388,                0.99337,              0.0091608,              0.0091608,              0.0091608
                     44,                0.87468,                0.91593,                0.99764,                0.84029,                0.72187,                0.81555,                0.63615,                0.93069,                 1.0107,                  1.004,              0.0091409,              0.0091409,              0.0091409
                     45,                0.87021,                0.90221,                 0.9823,                0.86614,                  0.716,                0.83484,                0.62361,                0.94479,                0.98407,                0.99743,              0.0091209,              0.0091209,              0.0091209
                     46,                0.88002,                0.90491,                0.99361,                0.84957,                0.73269,                0.84514,                0.62827,                0.97043,                0.99463,                 1.0107,              0.0091009,              0.0091009,              0.0091009
                     47,                0.84514,                0.87544,                0.98981,                0.82545,                0.77058,                0.84764,                0.62861,                 0.9397,                0.97119,                 0.9948,              0.0090809,              0.0090809,              0.0090809
                     48,                0.86706,                0.89566,                0.99589,                0.81104,                0.81333,                0.84929,                0.62432,                0.93416,                0.94696,                0.99518,              0.0090609,              0.0090609,              0.0090609
                     49,                0.86651,                0.87144,                 0.9914,                0.87889,                0.73785,                0.85219,                0.66073,                0.92704,                0.95371,                0.98639,               0.009041,               0.009041,               0.009041
                     50,                0.86991,                0.89449,                0.98962,                 0.8263,                0.78246,                0.84591,                0.63272,                0.93649,                 0.9817,                0.99544,               0.009021,               0.009021,               0.009021
                     51,                0.85437,                0.86615,                0.98207,                0.84562,                0.74036,                0.83133,                0.62545,                0.95236,                0.99269,                0.99348,               0.009001,               0.009001,               0.009001
                     52,                0.83722,                 0.8687,                0.98976,                0.79789,                0.77324,                0.84569,                0.64772,                0.92136,                0.99398,                 0.9917,               0.008981,               0.008981,               0.008981
                     53,                0.86586,                0.87181,                0.98371,                0.83382,                 0.8035,                0.85085,                0.66166,                 0.9516,                0.96542,                 1.0088,               0.008961,               0.008961,               0.008961
                     54,                0.86624,                0.87138,                0.98912,                0.84029,                0.79173,                0.84905,                0.61802,                0.93586,                0.99307,                 1.0025,              0.0089411,              0.0089411,              0.0089411
                     55,                 0.8442,                0.85002,                0.97514,                0.84542,                0.78589,                0.85623,                0.64606,                0.95876,                0.96588,                 1.0208,              0.0089211,              0.0089211,              0.0089211
                     56,                0.82267,                0.87141,                0.97952,                0.82696,                0.79905,                0.85252,                0.63549,                0.95792,                0.96061,                 1.0104,              0.0089011,              0.0089011,              0.0089011
                     57,                0.82922,                0.85159,                0.98211,                0.80612,                0.83065,                0.83617,                0.60425,                 1.0065,                0.99141,                 1.0273,              0.0088811,              0.0088811,              0.0088811
                     58,                0.84905,                0.86965,                0.97871,                0.81533,                0.82143,                0.85313,                0.64317,                0.98679,                0.98378,                  1.001,              0.0088611,              0.0088611,              0.0088611
                     59,                0.81789,                0.83539,                0.97756,                0.81239,                 0.7636,                0.83879,                0.63814,                0.92989,                 1.0566,                0.98652,              0.0088412,              0.0088412,              0.0088412
