                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3929,                  3.986,                 1.2756,                0.00432,                0.22643,                0.03171,                0.02108,                 1.4968,                 3.7195,                 1.2514,                0.09403,                  3e-05,                  3e-05
                      2,                 1.1984,                 3.2879,                 1.1515,                0.00177,                 0.1182,                0.02626,                0.01439,                 1.8415,                 3.7252,                 1.5393,               0.087065,             6.4783e-05,             6.4783e-05
                      3,                 1.2184,                 2.7593,                 1.1444,                0.00393,                0.11353,                0.02861,                 0.0138,                 2.2803,                 4.0561,                 1.9177,               0.080099,             9.9333e-05,             9.9333e-05
                      4,                 1.1311,                 2.4167,                 1.1026,                0.02849,                0.07558,                0.02886,                 0.0115,                 2.4567,                  4.083,                  2.218,               0.073134,             0.00013365,             0.00013365
                      5,                 1.1941,                  2.092,                 1.1078,                0.04877,                 0.0844,                0.04488,                0.03665,                 2.1805,                 3.9685,                  1.977,               0.066168,             0.00016773,             0.00016773
                      6,                 1.0685,                 1.7993,                 1.0911,                0.03092,                 0.1387,                0.06505,                0.03881,                 2.1627,                 4.0838,                  1.924,               0.059202,             0.00020158,             0.00020158
                      7,                 1.0403,                 1.6114,                 1.0615,                0.61812,                0.05099,                0.13777,                0.08494,                 1.5173,                 3.8533,                 1.4066,               0.052235,              0.0002352,              0.0002352
                      8,                 1.0729,                 1.4853,                  1.059,                0.77492,                0.10571,                0.28325,                0.18503,                 1.3374,                 3.5575,                 1.2735,               0.045269,             0.00026858,             0.00026858
                      9,                0.96248,                 1.3519,                 1.0391,                0.83443,                0.20628,                 0.4272,                0.32405,                 1.3035,                 3.3181,                 1.2531,               0.038302,             0.00030173,             0.00030173
                     10,                 1.0224,                 1.3799,                 1.0619,                 0.7794,                0.25161,                0.51908,                0.38917,                 1.2108,                 3.0384,                 1.1588,               0.031335,             0.00033465,             0.00033465
                     11,                0.99181,                 1.2868,                 1.0477,                 0.8074,                0.34853,                0.57919,                0.44646,                 1.1365,                 2.7334,                 1.0969,               0.024367,             0.00036733,             0.00036733
                     12,                 0.9378,                 1.1734,                 1.0152,                0.74467,                0.50205,                0.62079,                0.49822,                 1.0919,                 2.1333,                 1.0345,                 0.0174,             0.00039978,             0.00039978
                     13,                0.93659,                 1.1508,                 1.0323,                0.70516,                0.50617,                0.62914,                0.49959,                 1.0236,                 2.0194,                 1.0165,               0.010432,               0.000432,               0.000432
                     14,                0.93189,                 1.1225,                 1.0192,                0.64882,                0.54256,                0.64843,                0.49722,                 1.0633,                 1.9973,                 1.0286,               0.003464,             0.00046398,             0.00046398
                     15,                0.92989,                 1.1093,                 1.0149,                0.74833,                0.54294,                0.64554,                0.50073,                 1.0361,                 1.8517,                 1.0161,             0.00047667,             0.00047667,             0.00047667
                     16,                0.91903,                 1.0812,                 1.0228,                0.74401,                0.60233,                 0.7382,                0.58138,                 1.0033,                 1.6787,                 1.0036,               0.000475,               0.000475,               0.000475
                     17,                0.92578,                 1.0753,                 1.0193,                0.80275,                0.60484,                0.74801,                0.59135,                0.99205,                 1.6776,                 1.0061,             0.00047333,             0.00047333,             0.00047333
                     18,                0.90077,                 1.0301,                 1.0059,                0.79419,                0.61371,                0.75351,                0.58348,                0.98911,                 1.5574,                 1.0048,             0.00047167,             0.00047167,             0.00047167
                     19,                 0.8992,                0.99236,                 1.0011,                0.76729,                0.64188,                 0.7596,                0.58496,                0.96302,                  1.374,                 1.0011,                0.00047,                0.00047,                0.00047
                     20,                0.89602,                0.98871,                 1.0119,                0.80382,                0.67534,                 0.7563,                0.58323,                0.99692,                 1.3064,                 1.0104,             0.00046833,             0.00046833,             0.00046833
                     21,                0.88603,                 1.0157,                0.99228,                 0.8178,                0.69231,                0.76648,                0.59425,                 1.0055,                 1.3249,                  1.007,             0.00046667,             0.00046667,             0.00046667
                     22,                0.87145,                0.96524,                0.98845,                 0.8228,                0.68416,                0.77149,                0.58915,                0.97934,                 1.2475,                0.99019,               0.000465,               0.000465,               0.000465
                     23,                0.89458,                0.93613,                0.99521,                0.80816,                0.70744,                0.80421,                0.61181,                0.98048,                 1.1744,                0.98287,             0.00046333,             0.00046333,             0.00046333
                     24,                0.87953,                0.93202,                0.98567,                0.71968,                 0.8063,                0.80869,                0.63309,                0.94454,                 1.0731,                0.98745,             0.00046167,             0.00046167,             0.00046167
                     25,                0.85553,                0.89909,                0.97844,                0.76043,                0.75402,                0.82522,                0.63151,                0.92991,                 1.0779,                0.98296,                0.00046,                0.00046,                0.00046
                     26,                0.85271,                0.89298,                0.97748,                0.80792,                0.72658,                0.79335,                0.58336,                0.95725,                 1.1216,                 0.9927,             0.00045833,             0.00045833,             0.00045833
                     27,                0.86047,                0.88904,                0.98871,                0.77893,                0.76451,                0.82474,                0.62859,                0.94749,                 1.0984,                0.97909,             0.00045667,             0.00045667,             0.00045667
                     28,                0.85399,                0.94306,                0.98647,                0.78638,                0.77071,                0.82937,                0.63116,                0.93143,                 1.0787,                0.96066,               0.000455,               0.000455,               0.000455
                     29,                0.86852,                0.91506,                0.99779,                0.82009,                0.79514,                 0.8442,                0.64625,                0.93178,                0.99454,                0.96177,             0.00045333,             0.00045333,             0.00045333
                     30,                 0.8228,                0.88178,                0.99058,                0.83155,                0.77688,                0.84636,                0.65403,                0.91719,                 1.0006,                0.96114,             0.00045167,             0.00045167,             0.00045167
                     31,                  0.838,                0.86008,                0.96705,                0.80879,                0.77545,                0.84741,                0.64877,                0.89867,                0.99763,                0.94957,                0.00045,                0.00045,                0.00045
                     32,                0.82197,                0.86438,                0.97331,                 0.8375,                0.70872,                0.83573,                0.64757,                0.92018,                 1.0358,                0.96495,             0.00044833,             0.00044833,             0.00044833
                     33,                 0.8301,                0.84112,                 0.9693,                0.83666,                0.75886,                0.84682,                0.66207,                0.88749,                0.99277,                 0.9658,             0.00044667,             0.00044667,             0.00044667
                     34,                0.83859,                0.84231,                0.98084,                0.80943,                0.79365,                0.84732,                0.64661,                0.91615,                0.99627,                0.97468,               0.000445,               0.000445,               0.000445
                     35,                0.83265,                0.81216,                0.96454,                 0.8584,                0.79041,                0.85672,                0.67479,                0.88741,                 1.0049,                0.95817,             0.00044333,             0.00044333,             0.00044333
                     36,                0.77989,                0.79113,                0.95841,                0.82782,                0.76326,                0.83899,                0.66068,                0.88776,                 1.0251,                0.95834,             0.00044167,             0.00044167,             0.00044167
                     37,                0.80405,                 0.8277,                 0.9791,                0.86013,                0.76414,                0.82936,                0.65167,                0.90176,                 1.0578,                0.96217,                0.00044,                0.00044,                0.00044
                     38,                0.81194,                0.82969,                0.97098,                0.83058,                0.77074,                 0.8386,                0.66017,                0.90147,                 1.0173,                0.96395,             0.00043833,             0.00043833,             0.00043833
                     39,                0.80919,                0.79441,                0.95018,                0.87629,                0.76343,                0.85798,                0.65796,                  0.918,                  1.001,                0.96573,             0.00043667,             0.00043667,             0.00043667
                     40,                0.76323,                0.77835,                0.95452,                0.86388,                0.73329,                0.85203,                0.65844,                0.91028,                0.98742,                0.96292,               0.000435,               0.000435,               0.000435
                     41,                0.79559,                0.77945,                0.95418,                0.84087,                0.80144,                0.85678,                0.65392,                0.89853,                0.91243,                0.95638,             0.00043333,             0.00043333,             0.00043333
                     42,                0.80155,                0.78176,                0.96359,                0.84552,                0.80846,                0.85383,                0.66068,                0.90825,                0.92975,                0.97196,             0.00043167,             0.00043167,             0.00043167
                     43,                0.82148,                0.76516,                0.94672,                0.81712,                0.82518,                0.85535,                0.66376,                0.92028,                0.92998,                0.98165,                0.00043,                0.00043,                0.00043
                     44,                0.78343,                0.76158,                0.95134,                0.81922,                0.82937,                0.85597,                0.65533,                 0.9251,                0.92557,                0.96661,             0.00042833,             0.00042833,             0.00042833
                     45,                0.76176,                0.73436,                0.93939,                0.81056,                0.81379,                 0.8559,                0.65199,                0.91892,                0.94164,                0.95928,             0.00042667,             0.00042667,             0.00042667
